Group	metric	Icon	URL	Color	Period	Total	Updated	Homepage
Sponsored Research Administration	Direct Expenditures	fa fa-dollar-sign	bo.html	orange	Last 12 months	$2,872,030	February 2026	
Sponsored Research Administration	Indirects Collected	fa fa-funnel-dollar	bo.html	orange	Last 12 months	$549,496		
Sponsored Research Administration	Grant Applications Submitted	fa fa-share	bo.html	orange	Last 12 months	26		
Sponsored Research Administration	Active Grants Managed by IQSS	fa fa-tasks	bo.html	orange	Most Recent Month	24		x
Sponsored Research Administration	Number of unique PIs using IQSS sponsored research services	fa fa-user-alt	bo.html	orange	Most Recent Month	15		
Sponsored Research Administration	Number of unique Harvard Departments using IQSS sponsored research services	fa fa-university	bo.html	orange	Most Recent Month	5		
Undergrad Student Support	New Undergraduate Student Appointments	fa fa-file-signature	bo.html	red	Last 12 months	96		
Undergrad Student Support	Undergraduate Research Scholar Grants Awarded	fa fa-chart-line	bo.html	red	Last 12 months	20		
Undergrad Student Support	Undergraduate Research Scholar Dollars Awarded	fa fa-money-check-alt	bo.html	red	Last 12 months	$55,500		
Graduate Student Support	New Graduate Student Appointments	fa fa-plus-circle	bo.html	light-blue	Last 12 months	19		
Graduate Student Support	Graduate Student Research Grants Awarded	fa fa-award	bo.html	light-blue	Most Recent Year	55		
Graduate Student Support	Graduate Research Grant Dollars Awarded	fa fa-trophy	bo.html	light-blue	Most Recent Year	$102,825		
Graduate Student Support	Graduate Travel Grants Awarded	fa fa-suitcase	bo.html	light-blue	Last 12 months	68		
Graduate Student Support	Graduate Travel Grant Dollars Awarded	fa fa-plane-departure	bo.html	light-blue	Last 12 months	$53,566		
Community Building	New Student Affiliates 	fa fa-user-graduate	bo.html	blue	Last 12 months	49		
Community Building	New Academic Affiliates	fa fa-plus-square	bo.html	blue	Last 12 months	44		
Community Building	Academic Reappointments	fa fa-redo	bo.html	blue	Last 12 months	36		
Community Building	New Faculty Affiliates	fa fa-user-plus	bo.html	blue	Last 12 months	4		
Community Building	Events (seminars, conferences, trainings, social events)	fa fa-calendar-alt	bo.html	blue	Last 12 months	45		
Community Building	Attendees at events	fa fa-users	bo.html	blue	Last 12 months	1205		
Community Building	Current Student Affiliates	fa fa-user-alt	bo.html	blue	Most Recent Month	276		
Community Building	Current Academic Affiliates	fa fa-user-alt	bo.html	blue	Most Recent Month	114		
Community Building	Current Faculty Affiliates	fa fa-user-alt	bo.html	blue	Most Recent Month	149		
Community Building	Visas Processed	fa fa-passport	bo.html	blue	Last 12 months	30		
Community Building	IQSS Website and News Features	fas fa-newspaper	bo.html	blue	Last 12 months	36		
