id	Year	Quarter	Year_Quarter	Desktop	RCE	Dataverse
0	FY10	Q1	FY10-Q1	692		
1	FY10	Q2	FY10-Q2	428		
2	FY10	Q3	FY10-Q3	574		
3	FY10	Q4	FY10-Q4	424		
4	FY11	Q1	FY11-Q1	652		
5	FY11	Q2	FY11-Q2	466		
6	FY11	Q3	FY11-Q3	481		
7	FY11	Q4	FY11-Q4	503		
8	FY12	Q1	FY12-Q1	662		
9	FY12	Q2	FY12-Q2	487		
10	FY12	Q3	FY12-Q3	501	268.0	
11	FY12	Q4	FY12-Q4	459	214.0	
12	FY13	Q1	FY13-Q1	580	248.0	
13	FY13	Q2	FY13-Q2	463	159.0	
14	FY13	Q3	FY13-Q3	446	356.0	
15	FY13	Q4	FY13-Q4	504	164.0	
16	FY14	Q1	FY14-Q1	698	361.0	
17	FY14	Q2	FY14-Q2	476	182.0	
18	FY14	Q3	FY14-Q3	486	235.0	
19	FY14	Q4	FY14-Q4	454	181.0	
20	FY15	Q1	FY15-Q1	600	373.0	
21	FY15	Q2	FY15-Q2	442	209.0	
22	FY15	Q3	FY15-Q3	395	259.0	
23	FY15	Q4	FY15-Q4	461	210.0	
24	FY16	Q1	FY16-Q1	772	366.0	
25	FY16	Q2	FY16-Q2	493	197.0	
26	FY16	Q3	FY16-Q3	630	349.0	
27	FY16	Q4	FY16-Q4	489	241.0	
28	FY17	Q1	FY17-Q1	585	317.0	
29	FY17	Q2	FY17-Q2	449	236.0	
30	FY17	Q3	FY17-Q3	504	301.0	
31	FY17	Q4	FY17-Q4	409	244.0	
32	FY18	Q1	FY18-Q1	537	302.0	39.0
33	FY18	Q2	FY18-Q2	362	254.0	52.0
34	FY18	Q3	FY18-Q3	465	319.0	80.0
35	FY18	Q4	FY18-Q4	530	432.0	148.0
36	FY19	Q1	FY19-Q1	350	186.0	89.0
37	FY19	Q2	FY19-Q2	435	336.0	72.0
38	FY19	Q3	FY19-Q3	493	312.0	114.0
39	FY19	Q4	FY19-Q4	440	484.0	227.0
